openarenaG_800x600                          106
openarenaG_1024x768                         146
openarenaG_1920x1080                          305
openarenaG_2560x1440                           84
urbanterrorG_800x600                           35
urbanterrorG_1024x768                          42
urbanterrorG_1920x1080                          70
urbanterrorG_2560x1440                          30
unigine-valley_800x600                          232
unigine-valley_1024x768                          243
unigine-valley_1920x1080                         418
unigine-valley_2560x1440                          656
unigine-heaven_800x600                          312
unigine-heaven_1024x768                          315
unigine-heaven_1920x1080                         438
unigine-heaven_2560x1440                          720
glmark2_800x600                         332
glmark2_1024x768                         332
glmark2_1920x1080                         332
glmark2_2560x1440                         332
qgears_-image                          162
qgears_-render                         155
qgears_TEXT                          104
qgears_GEARSFANCY                         155
qgears_COMPO                          16
jxrend                          20
nexuiz_800x600                           24
nexuiz_1024x768                          30
nexuiz_1920x1080                          52
nexuiz_2560x1440                          52
xonotic_800x600                          886
xonotic_1024x768                         885
xonotic_1920x1080                          886
xonotic_2560x1440                          886
paraview_manyspheres                          362
paraview_waveletcontour                          779
paraview_waveletvolume                          31
indigobench_supercar                           61
indigobench_bedroom                           62
j2dbench_all                          361
j2dbench_images                          105
j2dbench_graphics                          245
j2dbench_text                          14
glibc-bench_bench-sin                          21,6982 +- 0,0257 seconds time elapsed  ( +-  0,12% )
glibc-bench_bench-cos                         21,44664 +- 0,00781 seconds time elapsed  ( +-  0,04% )
glibc-bench_bench-asinh                         10,25705 +- 0,00282 seconds time elapsed  ( +-  0,03% )
glibc-bench_bench-atanh                        10,253162 +- 0,000329 seconds time elapsed  ( +-  0,00% )
glibc-bench_bench-sincos                          20,4538 +- 0,0164 seconds time elapsed  ( +-  0,08% )
glibc-bench_bench-sinh                        10,253226 +- 0,000680 seconds time elapsed  ( +-  0,01% )
glibc-bench_bench-modf                          10,2645 +- 0,0134 seconds time elapsed  ( +-  0,13% )
glibc-bench_bench-exp                          30,3942 +- 0,0112 seconds time elapsed  ( +-  0,04% )
glibc-bench_bench-log2                        10,251682 +- 0,000285 seconds time elapsed  ( +-  0,00% )
himeno                           72,432 +- 0,218 seconds time elapsed  ( +-  0,30% )
hint_float                           390,75 +- 2,96 seconds time elapsed  ( +-  0,76% )
hint_double                          288,364 +- 0,365 seconds time elapsed  ( +-  0,13% )
hpcg                          270,610 +- 0,108 seconds time elapsed  ( +-  0,04% )
build-linux-kernel                          1371,63 +- 3,94 seconds time elapsed  ( +-  0,29% )
john-the-ripper_bcrypt                          30,1745 +- 0,0527 seconds time elapsed  ( +-  0,17% )
john-the-ripper_md5crypt                         60,14895 +- 0,00119 seconds time elapsed  ( +-  0,00% )
lzbench_-ezstd                          623,975 +- 0,582 seconds time elapsed  ( +-  0,09% )
lzbench_-ebrotli                          572,779 +- 0,359 seconds time elapsed  ( +-  0,06% )
lzbench_-elibdeflate                         262,1340 +- 0,0421 seconds time elapsed  ( +-  0,02% )
lzbench_-exz                          633,547 +- 0,741 seconds time elapsed  ( +-  0,12% )
m-queens                           57,892 +- 0,207 seconds time elapsed  ( +-  0,36% )
mbw_512                          8,75769 +- 0,00243 seconds time elapsed  ( +-  0,03% )
mbw_1024                         17,48573 +- 0,00787 seconds time elapsed  ( +-  0,05% )
mbw_4096                          69,8740 +- 0,0548 seconds time elapsed  ( +-  0,08% )
mcperf_get                          17,0537 +- 0,0112 seconds time elapsed  ( +-  0,07% )
mcperf_set                          29,6588 +- 0,0670 seconds time elapsed  ( +-  0,23% )
mcperf_delete                          17,1724 +- 0,0656 seconds time elapsed  ( +-  0,38% )
mcperf_add                           29,875 +- 0,109 seconds time elapsed  ( +-  0,37% )
mcperf_replace                           28,036 +- 0,217 seconds time elapsed  ( +-  0,78% )
mcperf_append                          27,7877 +- 0,0575 seconds time elapsed  ( +-  0,21% )
mcperf_prepend                          27,7258 +- 0,0450 seconds time elapsed  ( +-  0,16% )
mkl-dnn_conv_all                          638,500 +- 0,141 seconds time elapsed  ( +-  0,02% )
mkl-dnn_conv_googlenet_v3                         131,2412 +- 0,0199 seconds time elapsed  ( +-  0,02% )
mkl-dnn_conv_alexnet                          17,6746 +- 0,0271 seconds time elapsed  ( +-  0,15% )
mkl-dnn_ip_1d                         15,26969 +- 0,00378 seconds time elapsed  ( +-  0,02% )
mkl-dnn_ip_all                          47,7075 +- 0,0196 seconds time elapsed  ( +-  0,04% )
