Tasks	Stock	Meltdown	Spectre	MDS
stress-ng_sock	1468.89	1392.27	1591.40	1367.62
stress-ng_switch	1431.87	1411.54	1329.48	1204.13
stream	2279.47	2283.04	2272.41	2258.48
swet	296.11	294.35	296.12	296.03
t-test1	241.23	228.52	240.65	225.81
tensorflow	2973.89	3019.41	3025.06	3042.83
tinymembench	5969.45	5848.75	5950.71	5175.97
ttsiod-renderer	2565.35	2578.96	2561.17	2559.04
xsbench	3249.42	3270.78	3245.16	3247.85
ramspeed_copy_int	3914.82	3918.39	3896.48	3856.50
ramspeed_scale_int	3921.95	3934.62	3909.27	3854.07
ramspeed_add_int	3914.99	3920.88	3908.62	3858.90
ramspeed_triad_int	3932.08	3920.16	3917.64	3874.96
ramspeed_copy_float	4010.85	4009.98	3994.70	3986.65
ramspeed_scale_float	4029.14	4002.93	4007.31	3996.75
ramspeed_add_float	4031.18	4000.34	4014.40	4003.08
ramspeed_traid_float	4020.39	4018.40	4012.68	4000.84
botan_AES-256	435.47	437.54	434.66	433.17
botan_Blowfish	401.44	403.25	401.51	399.37
botan_CAST-256	387.28	389.11	388.24	385.49
botan_KASUMI	383.65	387.96	385.36	382.59
botan_Twofish	420.49	423.35	423.14	421.59
build-gcc	17039.21	16829.97	16898.68	16796.49
javascimark2	610.59	594.65	615.20	599.18
sunflow	1312.46	1306.10	1313.26	1328.24
sqlitebench	944.65	962.70	878.49	930.70
iozone_-s2096000	789.17	753.35	771.44	746.32
iozone_-s4096000	1939.36	1894.91	1909.84	1888.02
iozone_-s8126000	5798.26	5733.67	5709.21	5624.11
dbench_1	4921.57	4904.20	4898.02	4889.61
dbench_6	5072.95	4982.12	5061.99	4986.41
dbench_12	5266.53	5279.73	5292.43	5256.68
dbench_48	5680.18	5695.46	5698.92	5659.23
dbench_128	5919.70	5909.63	5933.63	5859.44
dbench_256	6146.17	6136.90	6122.30	6069.30
postmark	912.47	910.86	907.32	925.74
fs-mark_1000_Files_1MB_Size	336.42	346.87	339.69	331.64
fs-mark_5000_Files_1MB_Size_4_Threads	2985.69	2954.54	2923.96	2965.38
fs-mark_4000_Files_32_Sub_Dirs_1MB_Size	1127.89	1111.96	1109.77	1106.97
bork	256.08	248.41	267.15	251.74
ffmpeg	293.01	293.33	294.51	291.54
encode-mp3	666.24	667.16	665.15	668.09
graphics-magick_minify	1090.15	1091.69	1086.24	1086.30
graphics-magick_gaussian	8651.00	8672.59	8621.68	8627.36
graphics-magick_sharpen	18257.63	18272.33	18281.05	18242.35
graphics-magick_rotate	2082.45	2043.51	2042.45	2026.82
graphics-magick_resize	2514.64	2510.19	2463.95	2504.54
rocksdb_fillseq	976.35	969.26	951.11	960.37
rocksdb_fillrandom	1281.68	1271.90	1243.21	1250.12
rocksdb_readrandom	1240.78	1248.25	1241.80	1242.57
cassandra_write	115.76	112.94	112.62	111.92
cassandra_read	127.99	125.90	124.63	125.09
cassandra_mixed_1_1	128.06	125.37	124.82	124.87
